X,Y,objectid,featuretype,class,name,operationalstatus,state,spatialconfidence,revised,ga_guid,description,voltagekv,locality,comment_,x_coordinate,y_coordinate
149.14129211,-35.410268834,72,Substation,Zone,Gilmore,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{0E5A1D89-9807-43A4-8C90-770D8E3DCA3F},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Gilmore,,149.14129211,-35.41026883
148.313813096,-36.301756789,73,Substation,Zone,Geehi Dam,Operational,New South Wales,5,2017/02/23 00:00:00+00,{21B29967-3AFE-426B-83F7-5C894D8D9C4E},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Geehi,,148.3138131,-36.30175679
151.205893782,-34.015116259,74,Substation,Zone,Kurnell,Operational,New South Wales,5,2017/02/23 00:00:00+00,{08C1375D-D95D-4240-AA6A-C170BEC99C5D},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Kurnell,,151.20589378,-34.01511626
151.186668523,-33.9155842129999,75,Substation,Bulk Supply Point,Beaconsfield South,Operational,New South Wales,3,2017/02/23 00:00:00+00,{30B1B5FE-354F-4C5A-9842-51D481ED3992},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Alexandria,,151.18666852,-33.91558421
151.246694366,-33.8834633929999,76,Substation,Zone,Double Bay,Operational,New South Wales,3,2017/02/23 00:00:00+00,{3395B903-0080-4D7B-BC9B-6965E4FA9952},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Double Bay,,151.24669437,-33.88346339
151.248041444,-33.908893954,77,Substation,Zone,Clovelly,Operational,New South Wales,3,2017/02/23 00:00:00+00,{A6346FDB-D9B8-401A-A78C-243759C58567},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Randwick,,151.24804144,-33.90889395
149.133329485,-35.5853151599999,78,Substation,Zone,Williamsdale,Operational,Australian Capital Territory,4,2017/02/23 00:00:00+00,{19B0CD73-8E0C-4CF4-A70D-FF3E83D587F4},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,ACT Remainder - Tuggeranong,,149.13332949,-35.58531516
149.107731251,-32.6637305739999,79,Substation,Zone,Burrendong Dam,Operational,New South Wales,5,2017/02/23 00:00:00+00,{AD90C0FB-9BB9-4525-96C4-5D98E6F5CE95},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Yarragal,,149.10773125,-32.66373057
149.108422124,-33.274198941,80,Substation,Zone,Orange North,Operational,New South Wales,3,2017/02/23 00:00:00+00,{61C8BB5A-6138-4BAB-9704-F577376905AA},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Orange,,149.10842212,-33.27419894
145.999594959,-35.9733633719999,81,Substation,Zone,Mulwala,Operational,New South Wales,4,2017/02/23 00:00:00+00,{7F459360-3A3C-47C5-BC49-FDD630F263A0},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Mulwala,,145.99959496,-35.97336337
